,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
5960,147327,"Rubicini, Toscana Rosso",Rubicini,Italy,Toscana,,,,Sangiovese,Malvasia,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
5961,147328,"Villa Pillo, Cingalino Rosso di Toscana",Villa Pillo,Italy,Toscana,,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,55000,2018,750
5962,147329,"Poggio Piano, Mama non Mama",Fattoria Poggiopiano,Italy,Toscana,,,,Sangiovese,Merlot,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2007,750
5963,147330,"Argiano, Non Confunditur",Argiano,Italy,Toscana,,,,Cabernet Sauvignon,Merlot,Syrah & Shiraz,Sangiovese,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2010,750
5964,147331,"Talenti, Pian di Conte",Talenti,Italy,Toscana,,,,Sangiovese,Syrah & Shiraz,Colorino,Canaiolo,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,49000,2007,750
5965,147332,"Cadel Vispo, Cruter",Cadel Vispo,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,85000,2014,750
5966,147333,I Giusti e Zanza Perbruno,I Giusti e Zanza,Italy,Toscana,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2009,750
5967,147334,"Il Palagione, Antajr",Il Palagione,Italy,Toscana,,,,Sangiovese,Merlot,Cabernet Sauvignon,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,95000,2014,750
5968,147335,"Cerbaiona, Diego Molinari",Cerbaiona,Italy,Toscana,,,,Sangiovese,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2014,750
5969,147336,"Argiano, Il Duemilatre",Argiano,Italy,Toscana,,,,Sangiovese,,,,,,,,,,,,Red,Table,14,17~19,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2003,750
5970,147337,"Poggio Piano, Rosso di Sera",Fattoria Poggiopiano,Italy,Toscana,,,,Sangiovese,Colorino,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2009,750
5971,147338,I Giusti e Zanza Dulcamara,I Giusti e Zanza,Italy,Toscana,,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2009,750
5972,147339,"Castello Delle Regine, Merlot",Castello Delle Regine,Italy,Umbria,,,,Merlot,,,,,,,,,,,,Red,Table,14.5,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,102000,2013,750
5973,147341,"Conti Zecca, Donna Marzia Negramaro",Conti Zecca,Italy,Puglia,,,,Negroamaro,Etc,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2010,750
5974,147342,"Conti Zecca, Donna Marzia Primitivo",Conti Zecca,Italy,Puglia,,,,Primitivo,Etc,,,,,,,,,,,Red,Table,13.5,16~18,SWEET2,ACIDITY3,BODY5,TANNIN4,0,2010,750
5975,147343,"Conti Zecca, Primitivo",Conti Zecca,Italy,Puglia,,,,Primitivo,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET2,ACIDITY2,BODY4,TANNIN3,0,2010,750
5976,147344,"Feudo Arancio Stemmari, Nero d'Avola",Feudo Arancio,Italy,Sicilia,,,,Nero d'Avola,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,35000,2013,750
5977,147345,"Fatascia, Alire",Fatascia,Italy,Sicilia,,,,Nero d'Avola,Syrah & Shiraz,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2013,750
5978,147346,"Fatascia, Kaila Syrah",Fatascia,Italy,Sicilia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,38000,2009,750
5979,147347,"Benanti, Verzella",Benanti,Italy,Sicilia,,,,Nerello Mascalese,Nerello Cappuccio,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN3,65000,2016,750
5980,147348,"Benanti, Il Drappo",Benanti,Italy,Sicilia,,,,Nero d'Avola,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,104000,2003,750
5991,147360,"M. Chapoutier,  Rasteau",M Chapoutier,France,Rhone,Cotes du Rhone,Rasteau,,Grenache,Syrah & Shiraz,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2017,750
5992,147363,"Prunotto, Fiulot Barbera d'Asti",Prunotto  Antinori,Italy,Piemonte,Asti,,,Barbera,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,35000,2007,750
5993,147364,Glass Mountain Cabernet Sauvignon,Markham Vineyard,USA,California,,,,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,25000,2005,750
5994,147365,Glass Mountain Merlot,Markham Vineyard,USA,California,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13.8,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,2005,750
5996,147367,"Markham, Cabernet Sauvignon",Markham Vineyard,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,,Red,Table,13.8,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,110000,2005,750
5997,147368,"Markham, Merlot",Markham Vineyard,USA,California,Napa County,Napa Valley,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13.8,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,85000,2004,750
